run_type,seed,model,vina_kcal_mol,slahs_min_A,lvtkl_min_A,slahs_contact_le4A,lvtkl_contact_le4A,dual_contact_le4A
sensitivity,20260922,COMBO_048,-4.164,2.905,3.4979,1,1,1
sensitivity,20260923,COMBO_001,-4.726,3.0075,3.1332,1,1,1
sensitivity,20260923,COMBO_002,-4.983,2.8542,2.7641,1,1,1
sensitivity,20260923,COMBO_003,-4.82,2.7991,2.8849,1,1,1
sensitivity,20260923,COMBO_004,-5.086,3.0344,3.1532,1,1,1
sensitivity,20260923,COMBO_005,-4.704,2.8943,2.8347,1,1,1
sensitivity,20260923,COMBO_006,-4.555,3.3577,3.0283,1,1,1
sensitivity,20260923,COMBO_007,-4.881,2.8052,2.9116,1,1,1
sensitivity,20260923,COMBO_008,-5.015,3.2104,3.3315,1,1,1
sensitivity,20260923,COMBO_009,-4.361,3.682,2.9428,1,1,1
sensitivity,20260923,COMBO_010,-4.918,3.2639,2.8031,1,1,1
sensitivity,20260923,COMBO_011,-4.613,3.6521,2.9289,1,1,1
sensitivity,20260923,COMBO_012,-4.185,8.774,2.9809,0,1,0
sensitivity,20260923,COMBO_013,-5.009,3.7381,2.8747,1,1,1
sensitivity,20260923,COMBO_014,-4.661,2.8497,3.0012,1,1,1
sensitivity,20260923,COMBO_015,-4.963,2.9671,3.0441,1,1,1
sensitivity,20260923,COMBO_016,-4.953,2.8891,3.0461,1,1,1
sensitivity,20260923,COMBO_017,-4.492,3.0541,2.9441,1,1,1
sensitivity,20260923,COMBO_018,-4.593,2.8147,2.8049,1,1,1
sensitivity,20260923,COMBO_019,-4.286,3.005,2.8769,1,1,1
sensitivity,20260923,COMBO_020,-4.548,3.1941,3.5409,1,1,1
sensitivity,20260923,COMBO_021,-4.941,3.0201,3.5061,1,1,1
sensitivity,20260923,COMBO_022,-4.94,2.8817,2.9734,1,1,1
sensitivity,20260923,COMBO_023,-4.425,2.898,3.1599,1,1,1
sensitivity,20260923,COMBO_024,-4.88,2.8074,3.0309,1,1,1
sensitivity,20260923,COMBO_025,-4.961,2.8015,3.1581,1,1,1
sensitivity,20260923,COMBO_026,-4.76,2.8657,3.0519,1,1,1
sensitivity,20260923,COMBO_027,-4.603,3.9332,3.0729,1,1,1
sensitivity,20260923,COMBO_028,-4.905,2.9572,3.3663,1,1,1
sensitivity,20260923,COMBO_029,-4.555,2.9434,2.8704,1,1,1
sensitivity,20260923,COMBO_030,-5.419,3.3985,3.1384,1,1,1
sensitivity,20260923,COMBO_031,-5.667,3.4715,3.0483,1,1,1
sensitivity,20260923,COMBO_032,-5.474,2.8775,2.7265,1,1,1
sensitivity,20260923,COMBO_033,-4.356,2.923,3.3105,1,1,1
sensitivity,20260923,COMBO_034,-5.282,2.9972,2.8541,1,1,1
sensitivity,20260923,COMBO_035,-4.557,3.6128,2.7994,1,1,1
sensitivity,20260923,COMBO_036,-4.583,3.0046,2.9722,1,1,1
sensitivity,20260923,COMBO_037,-4.764,3.2127,2.8643,1,1,1
sensitivity,20260923,COMBO_038,-4.838,3.1861,2.9559,1,1,1
sensitivity,20260923,COMBO_039,-4.765,2.9726,3.003,1,1,1
sensitivity,20260923,COMBO_040,-5.605,2.8666,3.1469,1,1,1
sensitivity,20260923,COMBO_041,-4.378,2.9409,3.4505,1,1,1
sensitivity,20260923,COMBO_042,-5.279,2.9491,2.9785,1,1,1
sensitivity,20260923,COMBO_043,-4.288,4.8174,3.188,0,1,0
sensitivity,20260923,COMBO_044,-5.163,3.1083,2.8827,1,1,1
sensitivity,20260923,COMBO_045,-4.432,8.1008,2.7074,0,1,0
sensitivity,20260923,COMBO_046,-4.424,3.233,2.8314,1,1,1
sensitivity,20260923,COMBO_047,-5.11,3.1738,2.9972,1,1,1
sensitivity,20260923,COMBO_048,-5.004,2.7375,2.848,1,1,1
sensitivity,20260924,COMBO_001,-4.312,3.8826,2.8798,1,1,1
sensitivity,20260924,COMBO_002,-4.338,3.2097,2.8732,1,1,1
sensitivity,20260924,COMBO_003,-4.664,3.4043,3.0355,1,1,1
sensitivity,20260924,COMBO_004,-4.831,2.9518,3.5231,1,1,1
sensitivity,20260924,COMBO_005,-5.365,3.167,2.8755,1,1,1
sensitivity,20260924,COMBO_006,-4.667,2.9175,3.4405,1,1,1
sensitivity,20260924,COMBO_007,-4.417,3.086,3.0976,1,1,1
sensitivity,20260924,COMBO_008,-5.361,3.2148,2.9718,1,1,1
sensitivity,20260924,COMBO_009,-4.584,3.1325,3.1055,1,1,1
sensitivity,20260924,COMBO_010,-4.712,3.1151,3.2103,1,1,1
sensitivity,20260924,COMBO_011,-4.549,2.8001,3.4697,1,1,1
sensitivity,20260924,COMBO_012,-4.397,3.6389,2.9188,1,1,1
sensitivity,20260924,COMBO_013,-4.344,3.0643,2.8124,1,1,1
sensitivity,20260924,COMBO_014,-4.739,3.1901,3.2101,1,1,1
sensitivity,20260924,COMBO_015,-4.295,3.0571,3.0591,1,1,1
sensitivity,20260924,COMBO_016,-4.433,3.1919,3.2052,1,1,1
sensitivity,20260924,COMBO_017,-4.46,3.005,3.4364,1,1,1
sensitivity,20260924,COMBO_018,-5.464,2.8116,3.069,1,1,1
sensitivity,20260924,COMBO_019,-4.996,2.8241,2.9424,1,1,1
sensitivity,20260924,COMBO_020,-4.612,2.9209,3.1528,1,1,1
sensitivity,20260924,COMBO_021,-4.913,3.0872,2.9752,1,1,1
sensitivity,20260924,COMBO_022,-4.28,3.2485,3.2746,1,1,1
sensitivity,20260924,COMBO_023,-4.495,3.2498,3.003,1,1,1
sensitivity,20260924,COMBO_024,-4.389,3.3819,2.8816,1,1,1
sensitivity,20260924,COMBO_025,-4.68,3.4032,2.8042,1,1,1
sensitivity,20260924,COMBO_026,-4.542,3.7926,2.934,1,1,1
sensitivity,20260924,COMBO_027,-5.3,2.7671,2.8914,1,1,1
sensitivity,20260924,COMBO_028,-4.171,3.3085,2.9192,1,1,1
sensitivity,20260924,COMBO_029,-4.347,3.5736,2.902,1,1,1
sensitivity,20260924,COMBO_030,-4.586,2.9778,2.9108,1,1,1
sensitivity,20260924,COMBO_031,-4.8,2.8677,3.0672,1,1,1
sensitivity,20260924,COMBO_032,-4.406,3.175,2.8068,1,1,1
sensitivity,20260924,COMBO_033,-4.595,2.9528,2.6969,1,1,1
sensitivity,20260924,COMBO_034,-4.424,2.8446,2.8958,1,1,1
sensitivity,20260924,COMBO_035,-4.375,3.0538,2.8011,1,1,1
sensitivity,20260924,COMBO_036,-4.805,2.8796,3.4457,1,1,1
sensitivity,20260924,COMBO_037,-5.359,2.9669,2.7904,1,1,1
sensitivity,20260924,COMBO_038,-4.821,2.9727,2.9102,1,1,1
sensitivity,20260924,COMBO_039,-4.75,3.0452,2.8342,1,1,1
sensitivity,20260924,COMBO_040,-5.186,3.6909,2.7626,1,1,1
sensitivity,20260924,COMBO_041,-4.388,3.056,2.8034,1,1,1
sensitivity,20260924,COMBO_042,-5.111,2.9569,2.914,1,1,1
sensitivity,20260924,COMBO_043,-5.211,3.0254,2.9939,1,1,1
sensitivity,20260924,COMBO_044,-4.781,3.2323,2.8623,1,1,1
sensitivity,20260924,COMBO_045,-4.53,3.2445,2.917,1,1,1
sensitivity,20260924,COMBO_046,-4.92,3.0269,3.2598,1,1,1
sensitivity,20260924,COMBO_047,-4.578,3.0709,2.8151,1,1,1
sensitivity,20260924,COMBO_048,-4.549,3.3248,2.8319,1,1,1
sensitivity,20260925,COMBO_001,-4.757,2.9392,2.725,1,1,1
sensitivity,20260925,COMBO_002,-4.53,2.7584,2.7992,1,1,1
sensitivity,20260925,COMBO_003,-3.89,3.2274,2.7962,1,1,1
sensitivity,20260925,COMBO_004,-4.451,2.9858,2.9675,1,1,1
sensitivity,20260925,COMBO_005,-4.956,3.0798,3.1161,1,1,1
sensitivity,20260925,COMBO_006,-5.144,2.8345,3.009,1,1,1
sensitivity,20260925,COMBO_007,-4.362,3.3135,2.9871,1,1,1
sensitivity,20260925,COMBO_008,-5.234,2.9187,2.9297,1,1,1
sensitivity,20260925,COMBO_009,-5.63,3.4629,3.2725,1,1,1
sensitivity,20260925,COMBO_010,-5.058,2.974,3.4725,1,1,1
sensitivity,20260925,COMBO_011,-5.303,3.2244,3.0391,1,1,1
sensitivity,20260925,COMBO_012,-4.789,3.3482,3.138,1,1,1
sensitivity,20260925,COMBO_013,-4.304,3.7301,2.9214,1,1,1
sensitivity,20260925,COMBO_014,-5.3,3.0054,2.9526,1,1,1
sensitivity,20260925,COMBO_015,-4.367,3.0636,2.8788,1,1,1
sensitivity,20260925,COMBO_016,-5.033,2.7976,2.9394,1,1,1
sensitivity,20260925,COMBO_017,-4.174,3.1067,3.407,1,1,1
sensitivity,20260925,COMBO_018,-5.359,2.9019,3.319,1,1,1
