#Time_ns State SLAHS_mindist_A LVTKL_mindist_A
4.29 D 3.7973 3.1488
4.30 D 3.4909 2.9262
4.31 D 3.7494 3.1476
4.32 D 3.4521 2.9473
4.33 D 3.3690 2.7605
4.34 L 4.1440 3.1231
4.35 D 3.6338 3.0562
4.36 D 3.3809 3.0380
4.37 D 3.5320 3.0850
4.38 D 3.4500 2.9220
4.39 D 3.3864 2.9009
4.40 D 3.7823 3.1266
4.41 D 3.4501 3.0189
4.42 D 3.5795 2.8422
4.43 D 3.2499 2.9320
4.44 D 3.8920 2.9822
4.45 D 3.5552 3.4604
4.46 D 3.5331 3.0146
4.47 D 3.4133 3.2797
4.48 D 3.5117 3.1517
4.49 D 3.8290 2.9175
4.50 L 4.1292 2.9416
4.51 L 4.0805 2.7479
4.52 D 3.7166 2.7561
4.53 D 3.9981 3.0472
4.54 D 3.6020 3.1378
4.55 D 3.7927 2.9087
4.56 D 3.9761 2.8783
4.57 D 3.7563 2.8109
4.58 D 3.5031 2.8607
4.59 L 4.0818 3.0592
4.60 D 3.8519 3.0806
4.61 D 3.5323 2.8133
4.62 D 3.8854 2.7589
4.63 D 3.7455 2.9331
4.64 D 3.9016 2.9844
4.65 D 3.6257 3.0771
4.66 L 4.5367 3.0056
4.67 L 4.0479 2.9289
4.68 D 3.8896 3.0212
4.69 D 3.8856 2.7851
4.70 D 3.4923 2.7702
4.71 D 3.3774 2.7644
4.72 L 4.1441 2.7954
4.73 D 3.7559 2.8971
4.74 L 4.2760 2.6178
4.75 L 4.2205 2.9405
4.76 L 5.1300 2.7486
4.77 L 4.9515 2.8157
4.78 D 3.7842 2.8526
4.79 L 4.2339 2.9361
4.80 D 3.9413 3.0309
4.81 D 3.6256 3.0607
4.82 D 3.5300 3.0951
4.83 D 3.8718 2.8671
4.84 D 3.8047 3.0413
4.85 D 3.3466 3.1582
4.86 D 3.5952 2.7460
4.87 D 3.6196 2.9143
4.88 D 3.5405 3.1142
4.89 L 4.1552 2.9397
4.90 D 3.6722 2.9427
4.91 D 3.4690 2.9658
4.92 L 4.9639 2.9558
4.93 L 5.7255 2.8022
4.94 L 4.4128 3.1143
4.95 L 5.2891 2.7132
4.96 L 4.9044 2.8965
4.97 L 4.9082 2.9097
4.98 L 5.5297 3.0614
4.99 L 4.9013 2.8658
5.00 L 5.1324 3.0096
5.01 L 4.1630 2.9729
5.02 L 4.1264 2.9507
5.03 L 4.7222 2.7745
5.04 L 4.8768 2.9969
5.05 L 6.2240 2.7901
5.06 L 5.5388 2.7964
5.07 L 6.1348 2.7726
5.08 L 5.8799 2.8906
5.09 L 4.8743 2.8533
5.10 L 6.0092 3.3497
5.11 D 3.7557 3.0570
5.12 L 4.6299 2.7941
5.13 L 4.9594 2.9622
5.14 L 4.2859 2.9075
5.15 D 3.6294 2.8182
5.16 D 3.9747 2.8737
5.17 D 3.9351 2.9611
5.18 D 3.5430 2.8467
5.19 D 3.5093 2.8067
5.20 D 3.9302 2.9849
5.21 D 3.4403 2.9704
5.22 L 4.1815 2.6313
5.23 D 3.7522 3.0138
5.24 D 3.8480 3.1109
5.25 D 3.9667 2.7756
5.26 D 3.3080 2.5966
5.27 D 3.8185 2.8115
5.28 L 4.1812 2.9379
5.29 D 3.5210 2.7201
5.30 D 3.5841 2.8320
5.31 D 3.8280 2.8627
5.32 D 3.3606 2.8484
5.33 D 3.8409 2.7568
5.34 D 3.8606 3.0670
5.35 L 4.3271 2.7914
5.36 D 3.6141 2.6492
5.37 D 3.6233 2.8824
5.38 D 3.8994 2.7349
5.39 D 3.2918 2.8371
5.40 D 3.2752 2.8994
5.41 D 3.7562 2.8109
5.42 D 3.2192 2.7570
5.43 D 3.4068 2.9812
5.44 D 3.5193 2.9326
5.45 D 3.4959 2.7643
5.46 D 3.3604 3.0686
5.47 D 3.4853 2.7687
5.48 D 3.3773 3.0633
5.49 D 3.3650 2.9136
5.50 D 3.5805 2.8908
5.51 D 3.2764 2.8830
5.52 D 3.7820 2.7738
5.53 D 3.3641 2.7225
5.54 D 3.6159 2.7716
5.55 D 3.3099 2.8049
5.56 D 3.3498 2.9310
5.57 D 3.3240 2.7699
5.58 D 3.6899 2.9231
5.59 D 3.2152 2.9300
5.60 D 3.2411 2.8827
5.61 D 3.2670 2.7397
5.62 D 3.3914 2.8184
5.63 D 3.2444 2.9388
5.64 D 3.2730 3.1186
5.65 D 3.2481 2.8662
5.66 D 3.1800 2.7428
5.67 D 3.5078 2.8343
5.68 D 3.7429 3.0448
5.69 D 3.2976 2.9308
5.70 D 3.3986 3.0715
5.71 D 3.7109 2.7700
5.72 D 3.3810 2.9305
5.73 D 3.2415 2.7966
5.74 D 3.6865 2.9609
5.75 D 3.4344 2.7320
5.76 D 3.4735 2.8584
5.77 D 3.1386 2.8828
5.78 D 3.2730 2.8369
5.79 D 3.3787 2.7353
5.80 D 3.2949 2.9811
5.81 D 3.4504 2.8192
5.82 D 3.4150 2.8129
5.83 D 3.3776 2.8195
5.84 D 3.5949 2.7134
5.85 D 3.1965 2.8273
5.86 D 3.5489 2.6515
5.87 D 3.4481 2.7076
5.88 D 3.2359 3.1083
5.89 D 3.2424 3.0207
5.90 D 3.3087 2.9635
5.91 D 3.0605 3.0421
5.92 D 3.1818 2.8781
5.93 D 3.1863 2.9522
5.94 D 3.1717 3.1926
5.95 D 3.1238 2.8408
5.96 D 3.0523 2.9102
5.97 D 3.1930 2.7598
5.98 D 3.0757 2.8271
5.99 D 3.2052 3.0191
6.00 D 3.3372 3.0913
6.01 D 3.5154 2.6926
6.02 D 3.4318 2.9051
6.03 D 3.3703 2.8622
6.04 D 3.6946 2.7081
6.05 D 3.4601 3.4577
6.06 D 3.3549 3.1479
6.07 D 3.1248 3.0753
6.08 D 3.3739 2.7740
6.09 D 3.2850 2.8677
6.10 D 3.0254 3.0401
6.11 D 3.1053 2.6875
6.12 D 3.3632 2.8570
6.13 D 3.3541 2.6752
6.14 D 3.0557 2.8875
6.15 D 3.1604 2.7924
6.16 D 3.5039 2.8249
6.17 D 3.3902 2.7709
6.18 D 3.4105 3.0961
6.19 D 3.6010 2.8214
6.20 D 3.4197 2.8270
6.21 D 3.3699 2.8149
6.22 D 3.3320 2.8383
6.23 D 3.1695 2.9615
6.24 D 3.3104 2.8898
